%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1485999140174512157,-0.0,0.0,0.0,0.0,0.0,-0.0
1485999147702274289,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1485999147705043508,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999147721735800,1.23715937138,0.0,0.0,0.0,0.0,-0.0
1485999147821564342,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999147829614550,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1485999147833507727,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999147837556529,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999147841476112,1.46397292614,0.0,0.0,0.0,0.0,-0.0
1485999147845587675,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1485999147848791581,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1485999147853662519,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1485999147857819706,1.89696955681,0.0,0.0,0.0,0.0,-0.0
1485999147861626529,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147869882779,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147873776946,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147877872102,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147930780435,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147942108821,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147950116581,2.0,0.0,0.0,0.0,0.0,-0.0
1485999147961950071,1.97949159145,0.0,0.0,0.0,0.0,-0.0
1485999147966022154,1.93823051453,0.0,0.0,0.0,0.0,-0.0
1485999147970025748,1.8763999939,0.0,0.0,0.0,0.0,-0.0
1485999147974091477,1.83513903618,0.0,0.0,0.0,0.0,-0.0
1485999147977938196,1.81450855732,0.0,0.0,0.0,0.0,-0.0
1485999147982320748,1.77330851555,0.0,0.0,0.0,0.0,-0.0
1485999147986078300,1.73204743862,0.0,0.0,0.0,0.0,-0.0
1485999147989787623,1.71141695976,0.0,0.0,0.0,0.0,-0.0
1485999147993659185,1.62895596027,0.0,0.0,0.0,0.0,-0.0
1485999147997902414,1.56706440449,0.0,0.0,0.0,0.0,-0.0
1485999148002043560,1.50523388386,0.0,0.0,0.0,0.0,-0.0
1485999148006165331,1.44340348244,0.0,0.0,0.0,0.0,-0.0
1485999148009861164,1.40214240551,0.0,0.0,0.0,0.0,-0.0
1485999148013709498,1.38151192665,0.0,0.0,0.0,0.0,-0.0
1485999148017785331,1.29905092716,0.0,0.0,0.0,0.0,-0.0
1485999148022010956,1.27842032909,0.0,0.0,0.0,0.0,-0.0
1485999148026892727,1.21658980846,0.0,0.0,0.0,0.0,-0.0
1485999148029799602,1.17532885075,0.0,0.0,0.0,0.0,-0.0
1485999148037554133,1.13406777382,0.0,0.0,0.0,0.0,-0.0
1485999148041522519,1.07223725319,0.0,0.0,0.0,0.0,-0.0
1485999148045654758,1.03097629547,0.0,0.0,0.0,0.0,-0.0
1485999148049485539,1.01034581661,0.0,0.0,0.0,0.0,-0.0
1485999148053726894,0.969145774841,0.0,0.0,0.0,0.0,-0.0
1485999148057916321,0.948515295982,0.0,0.0,0.0,0.0,-0.0
1485999148061501008,0.90725427866,0.0,0.0,0.0,0.0,-0.0
1485999148065546216,0.866054236889,0.0,0.0,0.0,0.0,-0.0
1485999148069412935,0.84542375803,0.0,0.0,0.0,0.0,-0.0
1485999148073961477,0.804162740707,0.0,0.0,0.0,0.0,-0.0
1485999148077523404,0.783532202244,0.0,0.0,0.0,0.0,-0.0
1485999148081474602,0.701071202755,0.0,0.0,0.0,0.0,-0.0
1485999148085767414,0.680440664291,0.0,0.0,0.0,0.0,-0.0
1485999148089456529,0.618610203266,0.0,0.0,0.0,0.0,-0.0
1485999148093508404,0.577349185944,0.0,0.0,0.0,0.0,-0.0
1485999148097637571,0.536149203777,0.0,0.0,0.0,0.0,-0.0
1485999148101435800,0.515518665314,0.0,0.0,0.0,0.0,-0.0
1485999148105553873,0.474257647991,0.0,0.0,0.0,0.0,-0.0
1485999148109475539,0.45362713933,0.0,0.0,0.0,0.0,-0.0
1485999148113426946,0.412427127361,0.0,0.0,0.0,0.0,-0.0
1485999148117456529,0.371166110039,0.0,0.0,0.0,0.0,-0.0
1485999148125905904,0.350535601377,0.0,0.0,0.0,0.0,-0.0
1485999148129837258,0.309335619211,0.0,0.0,0.0,0.0,-0.0
1485999148137782102,0.268074601889,0.0,0.0,0.0,0.0,-0.0
1485999148145733039,0.247444078326,0.0,0.0,0.0,0.0,-0.0
1485999148153879810,0.206244081259,0.0,0.0,0.0,0.0,-0.0
1485999148161775175,0.185613572598,0.0,0.0,0.0,0.0,-0.0
1485999148181957675,0.144352555275,0.0,0.0,0.0,0.0,-0.0
