dt 16.7
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.831382770538
u -0.0 0.712609634399
u -0.0 0.524576568604
u -0.0 0.30683552742
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 -0.0
u -0.0 0.0198052918911
u -0.0 0.0989971590042
u -0.0 0.168257088661
u -0.0 0.257351617813
u -0.0 0.287030239105
u -0.0 0.336514177322
u -0.0 0.405803403854
u -0.0 0.455287342072
u -0.0 0.524576568604
u -0.0 0.59383649826
u -0.0 0.663125724792
u -0.0 0.712609634399
u -0.0 0.791801490784
u -0.0 0.831382770538
u -0.0 0.890769367218
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u -0.0 0.96
u 0.0206305123866 0.96
u 0.0618915371597 0.96
u 0.103152565658 0.96
u 0.123722039163 0.96
u 0.164983063936 0.96
u 0.206244081259 0.96
u 0.226813569665 0.96
u 0.268074601889 0.96
u 0.309335619211 0.96
u 0.329966127872 0.96
u 0.371166110039 0.96
u 0.412427127361 0.96
u 0.412427127361 0.96
u 0.433057636023 0.96
u 0.433057636023 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.474257647991 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.515518665314 0.96
u 0.536149203777 0.96
u 0.536149203777 0.96
u 0.536149203777 0.96
u 0.577349185944 0.96
u 0.577349185944 0.96
u 0.577349185944 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.618610203266 0.96
u 0.639240682125 0.96
u 0.639240682125 0.96
u 0.639240682125 0.96
u 0.680440664291 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.721701741219 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
u 0.742332220078 0.96
