dt 16.7
u 1.0 0.15
u 1.0 0.1575
u 1.0 0.165
u 1.0 0.1725
u 1.0 0.18
u 1.0 0.1875
u 1.0 0.195
u 1.0 0.2025
u 1.0 0.21
u 1.0 0.2175
u 1.0 0.225
u 1.0 0.2325
u 1.0 0.24
u 1.0 0.2475
u 1.0 0.255
u 1.0 0.2625
u 1.0 0.27
u 1.0 0.2775
u 1.0 0.285
u 1.0 0.2925
u 1.0 0.3
u 1.0 0.3075
u 1.0 0.315
u 1.0 0.3225
u 1.0 0.33
u 1.0 0.3375
u 1.0 0.345
u 1.0 0.3525
u 1.0 0.36
u 1.0 0.3675
u 1.0 0.375
u 1.0 0.3825
u 1.0 0.39
u 1.0 0.3975
u 1.0 0.405
u 1.0 0.4125
u 1.0 0.42
u 1.0 0.4275
u 1.0 0.435
u 1.0 0.4425
u 1.0 0.45
u 1.0 0.4575
u 1.0 0.465
u 1.0 0.4725
u 1.0 0.48
u 1.0 0.4875
u 1.0 0.495
u 1.0 0.5025
u 1.0 0.51
u 1.0 0.5175
u 1.0 0.525
u 1.0 0.5325
u 1.0 0.54
u 1.0 0.5475
u 1.0 0.555
u 1.0 0.5625
u 1.0 0.57
u 1.0 0.5775
u 1.0 0.585
u 1.0 0.5925
u 1.0 0.6
